CIRCULATION ACTIVITY by ITEM LOCATION (Jan 13)|
LOC|CHKOUTS|CHKINS|HOLDS|Hl/RECLL|TOTAL #|PERCENT|
tres |38|27|0|0|65|      0.1%|
tvid |16|7|0|0|23|      0.0%|
vesl |10|13|0|0|23|      0.0%|
vgc  |287|166|0|1|454|      0.7%|
vill |0|2|0|0|2|      0.0%|
vovs |5|3|0|0|8|      0.0%|
vref |0|1|0|0|1|      0.0%|
vres |206|179|0|0|385|      0.6%|
vsff |2|2|0|0|4|      0.0%|
vttf |4|0|0|0|4|      0.0%|
vvid |50|35|0|0|85|      0.1%|
zaccs|10|11|0|0|21|      0.0%|
zadap|174|171|0|0|345|      0.5%|
zav  |6|0|0|0|6|      0.0%|
zcsan|1|0|0|0|1|      0.0%|
zcsav|2|4|0|0|6|      0.0%|
zcsma|1|2|0|0|3|      0.0%|
zcsmm|15|14|0|0|29|      0.0%|
zcsov|11|17|0|0|28|      0.0%|
zcstd|9|6|0|0|15|      0.0%|
zcsua|1|0|0|0|1|      0.0%|
zcswr|139|125|0|0|264|      0.4%|
zgc  |272|145|54|16|487|      0.7%|
zgc-2|4|0|0|0|4|      0.0%|
zgc2 |6082|4193|96|140|10511|     15.2%|
zgc3 |4159|2893|97|85|7234|     10.4%|
zgov |33|3|2|0|38|      0.1%|
zgv-2|1|0|0|0|1|      0.0%|
zgvcd|0|1|0|0|1|      0.0%|
zgvr0|0|1|1|0|2|      0.0%|
zim  |5|4|0|2|11|      0.0%|
zjv  |782|566|8|4|1360|      2.0%|
zjvl |13|11|0|0|24|      0.0%|
zjvo |0|1|0|0|1|      0.0%|
zlap |1664|1636|0|0|3300|      4.8%|
zlarg|19|26|1|0|46|      0.1%|
zmfmm|6|2|0|0|8|      0.0%|
zmfmt|1|0|0|0|1|      0.0%|
zmous|51|49|0|0|100|      0.1%|
zovs |3|9|0|0|12|      0.0%|
zper |12|14|0|0|26|      0.0%|
zpww |97|90|2|0|189|      0.3%|
zread|40|34|0|0|74|      0.1%|
zref1|2|1|1|0|4|      0.0%|
zres |532|507|0|0|1039|      1.5%|
zroom|840|778|0|0|1618|      2.3%|
zstor|45|20|0|0|65|      0.1%|
ztwr |2|3|0|0|5|      0.0%|
zww  |47|35|0|0|82|      0.1%|
3atls|0|1|0|0|1|      0.0%|
3cd  |7|7|0|0|14|      0.0%|
3dvd |597|539|1|0|1137|      1.6%|
3dvdx|8|1|0|0|9|      0.0%|
3gc  |849|447|10|2|1308|      1.9%|
3govm|2|0|0|0|2|      0.0%|
3govt|13|9|3|0|25|      0.0%|
3maps|1|0|0|0|1|      0.0%|
3ovs |4|5|0|0|9|      0.0%|
3ref |0|1|0|0|1|      0.0%|
3res |618|329|0|0|947|      1.4%|
3thes|10|5|0|0|15|      0.0%|
3vert|57|31|0|0|88|      0.1%|
6av  |7|1|0|0|8|      0.0%|
6clas|223|217|0|0|440|      0.6%|
6clin|1|0|0|0|1|      0.0%|
6comp|1|0|0|0|1|      0.0%|
6faco|1|0|0|0|1|      0.0%|
6ind |4|12|0|0|16|      0.0%|
6latn|3|0|0|0|3|      0.0%|
6lrfl|301|164|2|4|471|      0.7%|
6nmex|3|0|0|0|3|      0.0%|
6ref |2|2|0|0|4|      0.0%|
6uftr|10|4|0|0|14|      0.0%|
6upfl|0|1|0|0|1|      0.0%|
7ave |87|87|0|0|174|      0.3%|
7dvd |3|4|0|0|7|      0.0%|
7gc  |60|29|0|0|89|      0.1%|
7ovs |3|2|0|0|5|      0.0%|
7res |14|14|0|0|28|      0.0%|
8agen|9|1|1|0|11|      0.0%|
8avid|0|0|1|0|1|      0.0%|
8gen |13|7|1|0|21|      0.0%|
8vid |0|1|0|0|1|      0.0%|
Blank Branch|0|1|9|0|10|      0.0%|
Total|39855|28658|471|389|69373|    100.0%|
