CIRCULATION ACTIVITY by ITEM LOCATION (Sep 13)|
LOC|CHKOUTS|CHKINS|HOLDS|Hl/RECLL|TOTAL #|PERCENT|
tper |17|10|0|0|27|      0.0%|
tres |62|55|0|0|117|      0.1%|
tvid |13|15|0|0|28|      0.0%|
vaud |2|0|0|0|2|      0.0%|
vesl |86|20|0|0|106|      0.1%|
vgc  |406|243|2|0|651|      0.8%|
vill |3|2|0|0|5|      0.0%|
vovs |0|9|0|0|9|      0.0%|
vper |13|4|0|0|17|      0.0%|
vres |332|301|0|0|633|      0.8%|
vsff |24|10|1|0|35|      0.0%|
vttf |5|4|0|0|9|      0.0%|
vvid |80|78|1|0|159|      0.2%|
zaccs|16|15|0|0|31|      0.0%|
zadap|925|894|0|0|1819|      2.3%|
zav  |4|0|0|0|4|      0.0%|
zcopy|3|0|0|0|3|      0.0%|
zcsav|4|4|0|0|8|      0.0%|
zcsfa|2|0|0|0|2|      0.0%|
zcsma|1|2|0|0|3|      0.0%|
zcsmm|14|14|0|0|28|      0.0%|
zcsov|21|15|0|0|36|      0.0%|
zcstd|4|3|0|0|7|      0.0%|
zcswr|251|179|0|0|430|      0.6%|
zethe|1|1|0|0|2|      0.0%|
zgc  |487|188|116|16|807|      1.0%|
zgc2 |4097|1888|67|90|6142|      7.9%|
zgc3 |2961|1580|83|45|4669|      6.0%|
zgov |9|4|6|0|19|      0.0%|
zgovm|0|0|1|0|1|      0.0%|
zgovp|0|0|1|0|1|      0.0%|
zgvr0|0|0|1|0|1|      0.0%|
zim  |3|3|0|0|6|      0.0%|
zjv  |852|481|9|6|1348|      1.7%|
zjvl |26|12|1|0|39|      0.0%|
zlap |3777|3697|0|0|7474|      9.6%|
zlarg|14|11|0|0|25|      0.0%|
zmfmm|4|2|0|0|6|      0.0%|
zmous|122|117|0|0|239|      0.3%|
zovs |4|0|0|0|4|      0.0%|
zper |14|14|1|0|29|      0.0%|
zper0|5|0|0|0|5|      0.0%|
zpop |112|66|1|7|186|      0.2%|
zpww |58|32|3|0|93|      0.1%|
