CIRCULATION ACTIVITY by ITEM LOCATION (Oct 13)|
LOC|CHKOUTS|CHKINS|HOLDS|Hl/RECLL|TOTAL #|PERCENT|
sres |485|448|1|2|936|      1.1%|
sstor|9|4|0|0|13|      0.0%|
ssw  |1|1|0|1|3|      0.0%|
tcd  |2|2|0|0|4|      0.0%|
tgc  |173|91|5|1|270|      0.3%|
till |75|38|0|0|113|      0.1%|
tovs |0|3|0|0|3|      0.0%|
tper |12|5|0|0|17|      0.0%|
tres |38|33|0|0|71|      0.1%|
tvid |37|30|1|0|68|      0.1%|
vesl |26|49|0|0|75|      0.1%|
vgc  |348|282|0|0|630|      0.8%|
vill |2|2|0|0|4|      0.0%|
vovs |1|0|0|0|1|      0.0%|
vper |5|13|0|0|18|      0.0%|
vres |259|263|0|0|522|      0.6%|
vsff |8|11|0|0|19|      0.0%|
vttf |2|2|0|0|4|      0.0%|
vvid |65|53|0|0|118|      0.1%|
zaccs|22|22|0|0|44|      0.1%|
zadap|1110|1080|0|0|2190|      2.6%|
zav  |6|0|0|0|6|      0.0%|
zcopy|8|2|0|1|11|      0.0%|
zcsan|1|1|0|0|2|      0.0%|
zcsav|5|1|0|0|6|      0.0%|
zcsfa|2|2|0|0|4|      0.0%|
zcsma|1|1|0|0|2|      0.0%|
zcsmm|8|5|0|0|13|      0.0%|
zcsov|20|22|0|0|42|      0.1%|
zcstd|13|12|0|0|25|      0.0%|
zcswr|260|224|0|0|484|      0.6%|
zethe|3|3|0|0|6|      0.0%|
zgc  |519|228|125|14|886|      1.1%|
zgc-2|1|0|0|0|1|      0.0%|
zgc2 |4093|1826|102|136|6157|      7.4%|
zgc3 |3244|1571|94|50|4959|      6.0%|
zgov |33|9|3|0|45|      0.1%|
zgovm|2|1|0|0|3|      0.0%|
zim  |8|0|1|0|9|      0.0%|
zjv  |807|666|7|7|1487|      1.8%|
zjvl |23|20|5|1|49|      0.1%|
zlap |4435|4330|0|0|8765|     10.6%|
zlarg|6|9|1|0|16|      0.0%|
zmfmm|0|2|0|0|2|      0.0%|
zmous|91|90|0|0|181|      0.2%|
zovs |1|1|0|0|2|      0.0%|
zper |2|18|1|0|21|      0.0%|
zper0|0|1|0|0|1|      0.0%|
zpop |102|70|0|3|175|      0.2%|
zpww |56|31|2|1|90|      0.1%|
zread|34|33|0|0|67|      0.1%|
zref |1|0|0|0|1|      0.0%|
zres |534|505|1|0|1040|      1.3%|
zroom|2717|2560|0|0|5277|      6.4%|
zstor|7|12|0|0|19|      0.0%|
ztwr |14|3|2|0|19|      0.0%|
zww  |28|17|1|1|47|      0.1%|
3arch|0|2|0|0|2|      0.0%|
3atls|2|0|0|0|2|      0.0%|
3cd  |3|8|0|0|11|      0.0%|
3dvd |812|809|0|0|1621|      2.0%|
3gc  |458|355|2|0|815|      1.0%|
3govm|0|1|0|0|1|      0.0%|
3govt|7|4|0|0|11|      0.0%|
3maps|6|3|0|0|9|      0.0%|
3ovs |5|6|0|0|11|      0.0%|
3res |485|484|0|0|969|      1.2%|
3spec|4|2|0|0|6|      0.0%|
3thes|12|1|0|0|13|      0.0%|
3vert|85|94|1|1|181|      0.2%|
6av  |2|2|0|0|4|      0.0%|
6clas|178|177|0|0|355|      0.4%|
6desk|2|2|0|0|4|      0.0%|
6ind |27|6|0|0|33|      0.0%|
6lrfl|144|91|1|0|236|      0.3%|
6ref |4|3|0|0|7|      0.0%|
6refp|3|1|0|0|4|      0.0%|
6uftr|3|3|0|0|6|      0.0%|
6upfl|2|0|0|0|2|      0.0%|
7ave |227|222|0|0|449|      0.5%|
7dvd |10|2|0|0|12|      0.0%|
7gc  |86|40|0|0|126|      0.2%|
7ovs |1|0|0|0|1|      0.0%|
7res |14|14|0|0|28|      0.0%|
8agen|6|2|0|0|8|      0.0%|
8avid|4|1|0|0|5|      0.0%|
8gen |0|5|0|0|5|      0.0%|
Blank Branch|0|0|5|0|5|      0.0%|
Total|46628|35415|645|342|83030|    100.0%|
