CIRCULATION ACTIVITY by ITEM LOCATION (Jun 13)|
LOC|CHKOUTS|CHKINS|HOLDS|Hl/RECLL|TOTAL #|PERCENT|
zadap|25|25|0|0|50|      0.1%|
zav  |4|1|0|0|5|      0.0%|
zcopy|1|1|0|0|2|      0.0%|
zcsav|4|4|0|0|8|      0.0%|
zcsma|1|0|0|0|1|      0.0%|
zcsmm|24|22|0|0|46|      0.1%|
zcsov|14|13|0|0|27|      0.1%|
zcstd|5|3|0|0|8|      0.0%|
zcswr|159|145|0|0|304|      0.7%|
zethe|2|2|0|0|4|      0.0%|
zgc  |214|128|13|6|361|      0.8%|
zgc2 |3465|2309|33|37|5844|     13.1%|
zgc3 |3333|1933|44|33|5343|     11.9%|
zgov |20|7|0|0|27|      0.1%|
zgvr0|2|0|0|0|2|      0.0%|
zim  |5|5|0|0|10|      0.0%|
zjv  |735|621|7|8|1371|      3.1%|
zjvl |21|15|0|0|36|      0.1%|
zlap |456|455|0|0|911|      2.0%|
zlarg|10|2|0|0|12|      0.0%|
zmfme|1|0|0|0|1|      0.0%|
zmfmm|0|1|0|0|1|      0.0%|
zmous|72|71|0|0|143|      0.3%|
zovs |2|3|0|0|5|      0.0%|
zper |13|5|0|0|18|      0.0%|
zpop |72|49|1|1|123|      0.3%|
zpww |65|39|1|0|105|      0.2%|
zread|24|24|0|0|48|      0.1%|
zref |1|1|0|0|2|      0.0%|
zref1|1|1|1|0|3|      0.0%|
zres |179|166|0|0|345|      0.8%|
zroom|405|388|0|0|793|      1.8%|
zstor|28|12|1|0|41|      0.1%|
ztwr |8|1|0|0|9|      0.0%|
zww  |48|15|0|0|63|      0.1%|
zzip |2|1|0|0|3|      0.0%|
3cd  |0|5|0|0|5|      0.0%|
3dvd |504|464|0|0|968|      2.2%|
3gc  |313|251|6|0|570|      1.3%|
3gdcd|1|1|0|0|2|      0.0%|
3govt|6|5|0|0|11|      0.0%|
3micr|0|1|0|0|1|      0.0%|
3ovs |1|2|0|0|3|      0.0%|
3ref |0|1|0|0|1|      0.0%|
3res |100|74|0|0|174|      0.4%|
3thes|4|4|0|0|8|      0.0%|
