CIRCULATION ACTIVITY by ITEM LOCATION (Nov 13)|
LOC|CHKOUTS|CHKINS|HOLDS|Hl/RECLL|TOTAL #|PERCENT|
tres |27|16|0|0|43|      0.1%|
tvid |15|16|0|0|31|      0.0%|
vaud |0|1|0|0|1|      0.0%|
vesl |11|15|0|0|26|      0.0%|
vgc  |225|271|2|0|498|      0.7%|
vill |0|1|0|0|1|      0.0%|
vovs |5|6|0|0|11|      0.0%|
vper |2|0|0|0|2|      0.0%|
vres |197|190|0|0|387|      0.5%|
vsff |4|2|0|0|6|      0.0%|
vttf |0|2|0|0|2|      0.0%|
vvid |48|37|0|0|85|      0.1%|
zaccs|18|18|0|0|36|      0.0%|
zadap|944|914|0|0|1858|      2.4%|
zav  |2|0|0|0|2|      0.0%|
zcopy|7|0|0|1|8|      0.0%|
zcsav|2|1|0|0|3|      0.0%|
zcsma|2|3|0|0|5|      0.0%|
zcsmm|6|4|0|0|10|      0.0%|
zcsov|4|1|0|0|5|      0.0%|
zcstd|8|7|0|0|15|      0.0%|
zcswr|181|149|0|0|330|      0.4%|
zethe|8|8|0|0|16|      0.0%|
zgc  |579|306|113|16|1014|      1.3%|
zgc-2|0|0|1|0|1|      0.0%|
zgc2 |4241|2307|75|94|6717|      8.8%|
zgc3 |2565|1905|45|64|4579|      6.0%|
zgov |36|9|4|1|50|      0.1%|
zgovp|0|0|1|0|1|      0.0%|
zim  |6|5|0|0|11|      0.0%|
zjv  |929|867|8|10|1814|      2.4%|
zjvl |25|27|3|0|55|      0.1%|
zjvo |1|0|0|0|1|      0.0%|
zlap |3921|3829|0|0|7750|     10.2%|
zlarg|14|9|0|0|23|      0.0%|
zmfmm|2|3|1|0|6|      0.0%|
zmous|59|60|0|0|119|      0.2%|
zovs |7|2|1|0|10|      0.0%|
zper |3|5|0|0|8|      0.0%|
zpop |118|87|3|3|211|      0.3%|
zpww |46|50|2|0|98|      0.1%|
zread|23|20|0|0|43|      0.1%|
zref |2|0|0|0|2|      0.0%|
zref1|2|0|0|0|2|      0.0%|
zres |411|404|1|0|816|      1.1%|
zroom|2434|2256|0|0|4690|      6.2%|
zstor|7|4|2|0|13|      0.0%|
ztwr |10|8|3|0|21|      0.0%|
zww  |22|20|1|1|44|      0.1%|
3atls|0|1|0|0|1|      0.0%|
3cd  |7|0|0|0|7|      0.0%|
3dvd |828|823|0|0|1651|      2.2%|
3dvdx|1|5|0|0|6|      0.0%|
3gc  |503|496|37|1|1037|      1.4%|
3govt|2|7|0|0|9|      0.0%|
3maps|0|3|0|0|3|      0.0%|
3ovs |1|1|0|0|2|      0.0%|
3ref |4|0|0|0|4|      0.0%|
3res |350|449|0|0|799|      1.0%|
3thes|9|9|0|0|18|      0.0%|
3vert|57|51|0|0|108|      0.1%|
6av  |1|0|0|0|1|      0.0%|
6clas|179|174|0|0|353|      0.5%|
6clin|0|4|0|0|4|      0.0%|
6desk|6|5|0|0|11|      0.0%|
6ind |62|3|0|0|65|      0.1%|
6indn|1|0|0|0|1|      0.0%|
6latn|1|1|0|0|2|      0.0%|
6lrfl|157|120|0|0|277|      0.4%|
6nmex|0|1|0|0|1|      0.0%|
6ref |3|1|0|0|4|      0.0%|
6refp|0|1|0|0|1|      0.0%|
6stor|4|0|0|0|4|      0.0%|
6uftr|18|10|0|0|28|      0.0%|
6upfl|6|1|0|0|7|      0.0%|
7ave |212|210|0|0|422|      0.6%|
7dvd |5|1|0|0|6|      0.0%|
7gc  |92|37|0|0|129|      0.2%|
7ovs |1|0|0|0|1|      0.0%|
7res |17|17|0|0|34|      0.0%|
8agen|9|8|0|0|17|      0.0%|
8avid|7|4|1|0|12|      0.0%|
8gen |5|0|0|0|5|      0.0%|
Blank Branch|0|0|6|0|6|      0.0%|
Total|41645|33660|545|315|76165|    100.0%|
