CIRCULATION ACTIVITY by ITEM LOCATION (Feb 13)|
LOC|CHKOUTS|CHKINS|HOLDS|Hl/RECLL|TOTAL #|PERCENT|
ssw  |2|1|0|0|3|      0.0%|
tgc  |187|87|0|0|274|      0.4%|
till |47|33|0|0|80|      0.1%|
tovs |3|2|0|0|5|      0.0%|
tper |18|4|0|0|22|      0.0%|
tres |31|28|0|0|59|      0.1%|
tvid |12|7|0|0|19|      0.0%|
vesl |3|1|0|0|4|      0.0%|
vgc  |280|169|0|0|449|      0.6%|
vill |9|0|0|0|9|      0.0%|
vref |2|0|0|0|2|      0.0%|
vres |208|195|0|0|403|      0.6%|
vsff |8|2|0|0|10|      0.0%|
vttf |0|1|0|0|1|      0.0%|
vvid |103|88|2|0|193|      0.3%|
zaccs|12|13|0|0|25|      0.0%|
zadap|393|381|0|0|774|      1.1%|
zav  |2|0|0|0|2|      0.0%|
zcsan|1|1|0|0|2|      0.0%|
zcsav|4|4|0|0|8|      0.0%|
zcsmm|40|39|0|0|79|      0.1%|
zcsov|17|13|0|0|30|      0.0%|
zcstd|10|8|0|0|18|      0.0%|
zcswr|231|193|0|0|424|      0.6%|
zethe|1|1|0|0|2|      0.0%|
zgc  |271|122|38|9|440|      0.6%|
zgc-2|0|0|3|0|3|      0.0%|
zgc2 |3569|1982|74|143|5768|      8.1%|
zgc3 |2825|1455|75|69|4424|      6.2%|
zgov |14|18|2|0|34|      0.0%|
zgvcd|3|0|0|0|3|      0.0%|
zgvr1|1|0|0|0|1|      0.0%|
zim  |13|5|2|0|20|      0.0%|
zjv  |912|533|15|9|1469|      2.1%|
zjvl |14|8|0|0|22|      0.0%|
zlap |3392|3361|0|0|6753|      9.5%|
zlarg|36|24|2|0|62|      0.1%|
zmfmm|3|2|0|0|5|      0.0%|
zmfmt|0|1|0|0|1|      0.0%|
zmous|114|113|0|0|227|      0.3%|
zovs |4|1|0|0|5|      0.0%|
zper |25|13|0|0|38|      0.1%|
